string2 0,string 1
40,Увеличивает ОПТ дигимона на 5000.
41,Увеличивает ОПТ дигимона на 10000.
42,Увеличивает ОПТ дигимона на 25000.
43,Увеличивает ОПТ дигимона на 50000.
44,Увеличивает ОПТ дигимона на 100000.
45,Укрепляет связь с дигимоном на 3%.
46,Укрепляет связь с дигимоном на 5%.
47,Укрепляет связь с дигимоном на 1%.
48,Увеличивает ваши очки аномалий на 25.
49,Вдохновляющая героиня стойко противостоит всем формам невзгод / Меняет тип личности на «Решительный».
50,"Я Кокуто, страж Сейрю / Меняет тип личности на «Отчужденный»."
51,"История о страданиях жар-птицы, которая учится принять
собственное дитя / Меняет тип личности на «Серьёзный»."
52,"Месть человека, оказавшегося в ловушке в пещере и превратившегося в голема / Меняет тип личности на «Жестокосердный»."
53,"История об одиноком драконе, который приходит в себя с помощью упрямого мужчины / Меняет тип личности на «Заботливый»."
54,"Темный король, который сам спускается в ад, чтобы наказать нечестивых / Меняет тип личности на «Суровый»."
55,"Трогательная история обо мне и таинственном мальчике, который называет себя принцем / Меняет тип личности на «Невинный»."
56,"Сказка о черном козле, который приходит в ярость, когда просыпается ото сна и превращается в демона
/ Меняет тип личности на «Непослушный»."
57,"Падший воин, который становится дьяволом, пожирающим других, чтобы выжить / Меняет тип личности на «Хитрый»."
58,Капризные монахини разгадывают тайну в своем монастыре / Меняет тип личности на «Капризный».
59,Увеличивает талант дигимона на 2.
60,Увеличивает талант дигимона на 5.
61,Увеличивает суммарный максимум ОЗ дигимона на 50.
62,Увеличивает суммарный максимум ОЗ дигимона на 150.
63,Увеличивает суммарный максимум ОЗ дигимона на 300.
64,Увеличивает суммарный максимум ОС дигимона на 50.
65,Увеличивает суммарный максимум ОС дигимона на 150.
66,Увеличивает суммарный максимум ОС дигимона на 300.
67,Увеличивает суммарный АТК дигимона на 30.
68,Увеличивает суммарный АТК дигимона на 50.
69,Увеличивает суммарный АТК дигимона на 100.
70,Увеличивает суммарную ЗАЩ дигимона на 30.
71,Увеличивает суммарную ЗАЩ дигимона на 50.
72,Увеличивает суммарную ЗАЩ дигимона на 100.
73,Увеличивает суммарный ИНТ дигимона на 30.
74,Увеличивает суммарный ИНТ дигимона на 50.
75,Увеличивает суммарный ИНТ дигимона на 100.
76,Увеличивает суммарный ДУХ дигимона на 30.
77,Увеличивает суммарный ДУХ дигимона на 50.
78,Увеличивает суммарный ДУХ дигимона на 100.
79,Увеличивает суммарную СКР дигимона на 30.
80,Увеличивает суммарную СКР дигимона на 50.
81,Увеличивает суммарную СКР дигимона на 100.
82,"Драгоценный камень, символизирующий процветание. Может быть продан по высокой цене."
83,"Драгоценный камень, добываемый из моллюсков.
Не путать с чёрным жемчугом, который создаёт Сякомон.
Можно продать по высокой цене."
84,Полупрозрачный небесно-голубой драгоценный камень семейства бериллов. Может быть продан по высокой цене.
85,"Драгоценный камень, который, как говорят, приносит возрождение. Может быть продан за высокую цену."
86,"Драгоценный камень, который меняет цвет на сине-зеленый при солнечном свете и красный при
искусственном освещении. Может быть продан по высокой цене."
87,"Алый драгоценный камень, по твердости с которым может соперничать только алмаз. Может быть продан по высокой цене."
88,"Драгоценный камень, который бывает всех цветов, кроме красного, по твердости с которым может
соперничать только алмаз. Может быть продан по высокой цене."
89,Ярко-зеленый драгоценный камень семейства бериллов. Может быть продан по высокой цене.
90,"Старый зануда сказал бы, что он сделан из того же материала, что и обычный карандаш. Может продаваться по высокой цене."
91,Невероятно редкий и загадочный драгоценный камень. Может быть продан по высокой цене.
99,Позволяет перемещаться далеко в одно мгновение
105,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
106,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
107,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
108,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
109,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
110,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
111,Любимая еда дигимона / для использования на Дигиферме
112,Любимая еда дигимона / для использования на Дигиферме
201,"Плагин, завершающий обучение и разведку фермы/Для использования на Дигиферме"
202,"Набор, добавляющий дополнительные фермерские острова/Для использования на Дигиферме"
203,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
204,"Любимая еда дигимонов
/Для Дигифермы"
205,"Любимая еда дигимонов
/Для Дигифермы"
206,"Любимая еда дигимонов
/Для Дигифермы"
207,"Любимая еда дигимонов
/Для Дигифермы"
208,"Любимая еда дигимонов
/Для Дигифермы"
209,"Любимая еда дигимонов
/Для Дигифермы"
210,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
211,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
212,"Любимая еда дигимонов
/Для Дигифермы"
213,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
214,"Любимая еда дигимонов
/Для Дигифермы"
215,"Любимая еда дигимонов
/Для Дигифермы"
216,"Любимая еда дигимонов
/Для Дигифермы"
217,"Любимая еда дигимонов
/Для Дигифермы"
218,"Любимая еда дигимонов
/Для Дигифермы"
219,"Любимая еда дигимонов
/Для Дигифермы"
220,"Любимая еда дигимонов
/Для Дигифермы"
221,"Любимая еда дигимонов
/Для Дигифермы"
222,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
223,"Еда для дигимонов.
Дайте её дигимону на Дигиферме, чтобы постепенно укреплять связь с ним."
301,"Материал для синтеза предметов фермы.
Редкость: ★"
302,"Материал для синтеза предметов фермы.
Редкость: ★★"
303,"Материал для синтеза предметов фермы.
Редкость: ★★★"
311,"Материал для синтеза предметов фермы.
Редкость: ★"
312,"Материал для синтеза предметов фермы.
Редкость: ★★"
313,"Материал для синтеза предметов фермы.
Редкость: ★★★"
321,"Материал для синтеза предметов фермы.
Редкость: ★"
322,"Материал для синтеза предметов фермы.
Редкость: ★★"
323,"Материал для синтеза предметов фермы.
Редкость: ★★★"
331,"Материал для синтеза предметов фермы.
Редкость: ★"
332,"Материал для синтеза предметов фермы.
Редкость: ★★"
333,"Материал для синтеза предметов фермы.
Редкость: ★★★"
341,"Материал для синтеза предметов фермы.
Редкость: ★"
342,"Материал для синтеза предметов фермы.
Редкость: ★★"
343,"Материал для синтеза предметов фермы.
Редкость: ★★★"
351,"Материал для синтеза предметов фермы.
Редкость: ★"
352,"Материал для синтеза предметов фермы.
Редкость: ★★"
353,"Материал для синтеза предметов фермы.
Редкость: ★★★"
354,Очень ценное и таинственное яйцо.
361,Знак доверия Меркуримона. Вулканусмон может создать с его помощью ценное снаряжение.
362,Знак доверия Вулканусмона. Вулканусмон может создать с его помощью ценное оборудование.
363,Знак доверия Нептунемона. Вулканусмон может создать с его помощью ценное снаряжение.
364,Знак доверия Венусмон. Вулканусмон может создать с его помощью ценное оборудование.
365,Знак доверия Бахусмона. Вулканусмон может создать с его помощью ценное снаряжение.
366,Знак доверия Церемон. Вулканусмон может создать с его помощью ценное оборудование.
367,Знак доверия Марсмона. Вулканусмон может создать с его помощью ценное оборудование.
368,Знак доверия Юномон. Вулканусмон может создать с его помощью ценное оборудование.
369,Знак доверия Плутомона. Вулканусмон может создать с его помощью ценное оборудование.
370,Знак доверия Аполломона. Вулканусмон может создать с его помощью ценное снаряжение.
371,Знак доверия Дайанамон. Вулканусмон может создать с его помощью ценное снаряжение.
372,Знак доверия Минервамона. Вулканусмон может создать с его помощью ценное снаряжение.
373,Знак доверия Юпитермона. Вулканусмон может создать с его помощью ценное оборудование.
501,"Увеличивает опыт, получаемый дигимонами элемента Огня / Предмет для Дигифермы"
502,"Увеличивает опыт, получаемый дигимонами элемента Воды / Предмет для Дигифермы"
503,"Увеличивает опыт, получаемый дигимонами элемента Растений / Предмет для Дигифермы"
504,"Увеличивает опыт, получаемый дигимонами элемента Земли / Предмет для Дигифермы"
505,"Увеличивает опыт, получаемый дигимонами элемента Электричества / Предмет для Дигифермы"
506,"Увеличивает опыт, получаемый дигимонами элемента Ветра / Предмет для Дигифермы"
507,"Увеличивает опыт, получаемый дигимонами элемента Света / Предмет для Дигифермы"
508,"Увеличивает опыт, получаемый дигимонами элемента Тьмы / Предмет для Дигифермы"
509,"Увеличивает опыт, получаемый дигимонами нейтрального элемента / Предмет для Дигифермы"
520,Текст описания товара 01 /Предмет Фермы
521,Текст описания товара 02 /Предмет Фермы
522,Текст описания товара 03 /Предмет Фермы
523,Текст описания товара 04 /Предмет Фермы
524,Текст описания товара 05 /Предмет Фермы
525,Текст описания товара 06 /Предмет Фермы
526,Текст описания товара 07 /Предмет Фермы
527,Текст описания товара 08 /Предмет Фермы
528,Текст описания товара 09 /Предмет Фермы
