string2 0,string 1
0,–
1,Снижает стоимость SP навыков физической атаки на 10%.
2,Немного повышает получаемую шкалу CP.
3,
4,
5,"Восстанавливает HP на 10% от урона, нанесённого навыками физической атаки."
6,Выполняет дополнительную атаку при активации дополнительных ударов.
7,
8,
9,Всегда действует первым.
10,"Повышает {is28}{image(ui_icon_btlStatus_016)} АТК в первые 3 раунда. Чем раньше раунд, тем сильнее повышение {is28}{image(ui_icon_btlStatus_016)} АТК."
11,
12,
13,Повышает шанс крита {is28}{image(ui_icon_btlStatus_030)} на 5%.
14,Повышает ЗАЩ в зависимости от HP пользователя.
15,
16,
17,"Повышает {is28}{image(ui_icon_btlStatus_016)} АТК, когда HP 90% или ниже. Чем ниже HP, тем сильнее повышение {is28}{image(ui_icon_btlStatus_016)} АТК."
18,"Даёт шанс контратаковать обычной атакой при получении атаки. Чем ниже HP, тем выше шанс контратаки."
19,
20,
21,Снижает стоимость SP навыков восстановления на 10%.
22,При восстановлении HP союзника навыком также восстанавливает SP на 10% от макс. SP.
23,
24,
25,Всегда действует последним.
26,Немного восстанавливает HP всех союзников в начале каждого раунда.
27,
28,
29,"Повышает {is28}{image(ui_icon_btlStatus_020)} ИНТ с 4-го раунда. Чем больше прошло раундов, тем сильнее повышение {is28}{image(ui_icon_btlStatus_020)} ИНТ."
30,При восстановлении HP союзника навыком также снимает с цели {is28}{image(ui_icon_btlStatus_012)} Травму.
31,
32,
33,"Повышает {is28}{image(ui_icon_btlStatus_018)} ЗАЩ, когда HP 90% или ниже. Чем ниже HP, тем сильнее повышение {is28}{image(ui_icon_btlStatus_018)} ЗАЩ."
34,При нокауте воскресает с 50% HP (один раз за бой).
35,
36,
37,Всегда действует первым.
38,При использовании навыков восстановления сверхлечит цель до 200% от её макс. HP.
39,
40,
41,В начале боя повышает {is28}{image(ui_icon_btlStatus_016)} АТК и {is28}{image(ui_icon_btlStatus_020)} ИНТ всех союзников в зависимости от суммарной связи участников боя.
42,Повышает вероятность срабатывания ослабляющих эффектов навыков.
43,
44,
45,Повышает {is28}{image(ui_icon_btlStatus_016)} АТК в зависимости от HP пользователя.
46,"Продлевает эффекты усиления, наложенные навыками пользователя, на 2 хода."
47,
48,
49,"Продлевает эффекты ослабления, наложенные навыками пользователя, на 2 хода."
50,Повышает урон пользователя при ударе по слабому месту врага после союзника.
51,
52,
53,Повышает шанс крита {is28}{image(ui_icon_btlStatus_030)} на 5%.
54,При восстановлении HP союзника навыком также повышает все характеристики цели.
55,
56,
57,"Повышает {is28}{image(ui_icon_btlStatus_016)} АТК с 4-го раунда. Чем больше прошло раундов, тем сильнее повышение {is28}{image(ui_icon_btlStatus_016)} АТК."
58,В начале боя снижает {is28}{image(ui_icon_btlStatus_019)} ЗАЩ и {is28}{image(ui_icon_btlStatus_023)} ДУХ всех врагов в зависимости от суммарной связи участников боя.
59,
60,
61,Снижает стоимость SP навыков магической атаки на 10%.
62,Обычная атака наносит магический урон.
63,
64,
65,"Повышает {is28}{image(ui_icon_btlStatus_020)} ИНТ, когда HP 90% или ниже. Чем ниже HP, тем сильнее повышение {is28}{image(ui_icon_btlStatus_020)} ИНТ."
66,"Восстанавливает SP на 10% от урона, нанесённого навыками магической атаки."
67,
68,
69,Всегда действует последним.
70,Немного восстанавливает SP всех союзников в начале каждого раунда.
71,
72,
73,Повышает критический урон на 20%.
74,"Повышает {is28}{image(ui_icon_btlStatus_020)} ИНТ в первые 3 раунда. Чем раньше раунд, тем сильнее повышение {is28}{image(ui_icon_btlStatus_020)} ИНТ."
75,
76,
77,Повышает {is28}{image(ui_icon_btlStatus_022)} ДУХ в зависимости от HP пользователя.
78,"Даёт шанс повторно активировать тот же навык при использовании магической атаки. Чем ниже HP, тем выше шанс."
79,
80,
