string2 0,string 1
1,Хироко Сагисака
2,Хироко Сагисака
3,Хироко Сагисака
11,Венусмон
12,Венусмон
13,Нептунмон
14,Гомамон
15,Шеллмон
16,Шеллмон
18,Камемон
19,ДжамбоГамемон
24,Мучомон
26,Лаламон
27,Вакхмон
28,Вакхмон
29,Вакхмон
30,Пекмон
31,???
32,Большой Медведь
33,Большой Дримогемон
38,Зудомон
39,Зудомон
40,Гаомон
41,Хагурумон
42,Солармон
43,Большой Медведь
44,Лопмон
45,Лопмон
46,Меркуримон
47,Танэмон
48,КатчМамаемон
49,ВерГарурумон
50,Туруйемон
52,Скалл Сатамон
53,Скалл Сатамон
55,Минервамон
56,Минервамон
57,Минервамон
59,Коронамон
60,Лунамон
61,Аполломон
62,Дианамон
63,Коронамон
70,Юномон
71,Юномон
72,Хироко Сагисака
73,Древний Вайзмон
74,Хоукмон
77,Гардромон
78,Андромон
82,Вулканусмон
83,Вулканусмон
84,Зудомон
87,Король Драсил
88,Куньлунь
89,Куньлунь
90,Хироко Сагисака
91,Мотимон
92,Краниуммон
93,Краниуммон
94,Бакэмон
98,Агумон
99,Дюкмон
100,Ви-мон
101,Магнамон
102,Алфорс Ви-драмон
103,Хироко Сагисака
104,Асуна Широки
105,Динасмон
106,Слейпмон
108,???
109,Лаламон
111,Гэнкумон
112,Джесмон
113,Гэнкумон
114,Трактирщик
116,Ребенок из парка Синдзюку
117,Ребенок из парка Синдзюку
146,Асуна Широки
147,Хироко Сагисака
148,Агумон
149,Хироко Сагисака
150,Ванямон
151,Пегасмон
152,Пегасмон
153,Бёрдрамон
154,Мирей Микагура
155,Аполломон
156,Хироко Сагисака
157,Симмонс
158,Симмонс
159,Зубаигермон
160,Марсмон
161,Фугамон
162,???
163,Мирей Микагура
164,Мирей Микагура
165,Мирей Микагура
166,Мирей Микагура
167,Минервамон
168,Кокувамон
169,Хироко Сагисака
170,Хироко Сагисака
171,Хироко Сагисака
172,Хангёмон
173,Маринангемон
176,Меркуримон
177,
178,Мирей Микагура
179,Продавец в Кофейне
180,Начинающий Косплеер
181,
182,
183,Пунимон
184,
200,Хироко Сагисака
201,Этемон
202,Доктор Симмонс
208,Куньлунь
211,Агумон
216,Мирей Микагура
217,Минервамон
300,Волкамон
500,Мирей Микагура
510,Мирей Микагура
520,Мирей Микагура
530,Мирей Микагура
960,Мирей Микагура
961,Мирей Микагура
962,Мирей Микагура
963,Мирей Микагура
970,Мирей Микагура
971,Мирей Микагура
972,Мирей Микагура
