string2 0,string 1,string 2,string 3
aigio_001_0_char_AEGIOMON,char_AEGIOMON,"Убедись, что ты присматриваешь за мной, хорошо? В противном
случае, мне, возможно, придется играть на своей свирели здесь...",
aigio_001_1_replay,char_PLAYER_M,Хочешь попробовать управлять мной с их помощью?,
aigio_001_1_reaction_char_AEGIOMON,char_AEGIOMON,"Не знаю... По какой-то причине у меня такое чувство, что это не
сработает...",
aigio_001_2_replay,char_PLAYER_M,На что они похожи?,
aigio_001_2_reaction_char_AEGIOMON,char_AEGIOMON,Вообще-то... Я не знаю. Каждый слышит их по-своему.,
aigio_001_3_replay,char_PLAYER_M,Не волнуйся. Я присмотрю за тобой.,
aigio_001_3_reaction_char_AEGIOMON,char_AEGIOMON,"... Да, ты прав. Я знаю, ты будешь хорошо заботиться обо мне.",
aigio_001_4_replay,char_PLAYER_M,"Ты - это все, что меня волнует.",
aigio_001_4_reaction_char_AEGIOMON,char_AEGIOMON,"Даже не играя на своей свирели ...? Вау, спасибо! Я тоже буду
хорошо заботиться о тебе.",
blimp_001_0_char_BLIMPMON,char_BLIMPMON,"Куда ты хочешь пойти? Если я смогу туда поехать, я возьму тебя с
собой!",
blimp_001_1_replay,char_PLAYER_M,"Туда, где никто никогда раньше не бывал.",
blimp_001_1_reaction_char_BLIMPMON,char_BLIMPMON,"Хочешь отправиться в приключение? Смелая просьба ... Но, ладно!",
blimp_001_2_replay,char_PLAYER_M,"Где-то, о чем я пока не знаю.",
blimp_001_2_reaction_char_BLIMPMON,char_BLIMPMON,"Мир большой, да? Держу пари, мы можем многому научиться, побывав
в разных местах!",
blimp_001_3_replay,char_PLAYER_M,"Куда угодно, если это будет с тобой.",
blimp_001_3_reaction_char_BLIMPMON,char_BLIMPMON,"Хехе. Немного неловко, когда ты говоришь это вслух... но я
чувствую то же самое!",
blimp_001_4_replay,char_PLAYER_M,"Место, где ты сможешь отдохнуть.",
blimp_001_4_reaction_char_BLIMPMON,char_BLIMPMON,Хе-хе. Спасибо. Просто твои слова придают мне сил!,
aigiou_001_0_char_AEGIOCHUSMON,char_AEGIOCHUSMON,"Теперь, когда я могу метать молнии, ты можешь быть шокирован,
если прикоснешься ко мне.",
aigiou_001_1_replay,char_PLAYER_M,Я не боюсь небольшого шока.,
aigiou_001_1_reaction_char_AEGIOCHUSMON,char_AEGIOCHUSMON,"Ты действительно храбрый, да? Я мог бы научиться у тебя
нескольким вещам.",
aigiou_001_2_replay,char_PLAYER_M,Я надену резиновые перчатки.,
aigiou_001_2_reaction_char_AEGIOCHUSMON,char_AEGIOCHUSMON,"И это защитило бы тебя от молнии? Ха. Ты узнаешь что-то новое
каждый день.",
aigiou_001_3_replay,char_PLAYER_M,Ты бы никогда не сделал ничего подобного.,
aigiou_001_3_reaction_char_AEGIOCHUSMON,char_AEGIOCHUSMON,"Ха-ха. Тебя не проведешь, да? Да, не волнуйся. Я бы никогда не
стал тебя шокировать.",
aigiou_001_4_replay,char_PLAYER_M,Ты уже возбуждаешь меня.,
aigiou_001_4_reaction_char_AEGIOCHUSMON,char_AEGIOCHUSMON,"Ух ты, послушать тебя! Что ты за персонаж! Хе-хе!",
aigiob_001_0_char_AEGIOCHUSMON_BLUE,char_AEGIOCHUSMON_BLUE,Моя левая рука теперь такая большая... Ты меня боишься?,
aigiob_001_1_replay,char_PLAYER_M,Вовсе нет.,
aigiob_001_1_reaction_char_AEGIOCHUSMON_BLUE,char_AEGIOCHUSMON_BLUE,"О, я надеялся, что ты хотя бы немного испугаешься... Но спасибо.
Я рад, что спросил.",
aigiob_001_2_replay,char_PLAYER_M,"Нет, но это довольно интересно.",
aigiob_001_2_reaction_char_AEGIOCHUSMON_BLUE,char_AEGIOCHUSMON_BLUE,"О... Думаю, мне тоже есть чему поучиться ... о себе и о том, как
защитить всех.",
aigiob_001_3_replay,char_PLAYER_M,"Больше похоже на уверенность в том, что я могу на тебя
рассчитывать.",
aigiob_001_3_reaction_char_AEGIOCHUSMON_BLUE,char_AEGIOCHUSMON_BLUE,"Правда? Хе-хе. Что ж, я тоже на тебя рассчитываю. Давай
воспользуемся моей рукой, чтобы спасти всех!",
aigiob_001_4_replay,char_PLAYER_M,Это выглядит круто.,
aigiob_001_4_reaction_char_AEGIOCHUSMON_BLUE,char_AEGIOCHUSMON_BLUE,Что?! Р-правда? Теперь я чувствую себя немного неловко. Хехе...,
aigiog_001_0_char_AEGIOCHUSMON_GREEN,char_AEGIOCHUSMON_GREEN,"На днях я увидела цветник, полный роз. Это было действительно
красиво.",
aigiog_001_1_replay,char_PLAYER_M,Давайте сделаем оружие из всех шипов.,
aigiog_001_1_reaction_char_AEGIOCHUSMON_GREEN,char_AEGIOCHUSMON_GREEN,"Ха-ха. Как те, что есть у меня? Правда. Эти шипы действительно
колючие!",
aigiog_001_2_replay,char_PLAYER_M,Давайте соберем лепестки для ванны.,
aigiog_001_2_reaction_char_AEGIOCHUSMON_GREEN,char_AEGIOCHUSMON_GREEN,"Ты имеешь в виду положить лепестки в воду? Ха. Я никогда не
думал использовать их таким образом.",
aigiog_001_3_replay,char_PLAYER_M,Давай посмотрим на это вместе.,
aigiog_001_3_reaction_char_AEGIOCHUSMON_GREEN,char_AEGIOCHUSMON_GREEN,"Конечно, я бы с удовольствием! И я заставлю тебя сдержать это
обещание!",
aigiog_001_4_replay,char_PLAYER_M,Я бы хотел подарить тебе все розы.,
aigiog_001_4_reaction_char_AEGIOCHUSMON_GREEN,char_AEGIOCHUSMON_GREEN,"Эм, мне бы это действительно подошло ...? Тем не менее, это
очень мило с твоей стороны сказать. Спасибо.",
aigiod_001_0_char_AEGIOCHUSMON_DARK,char_AEGIOCHUSMON_DARK,"Я думаю, что хочу сделать тебе что-нибудь гадкое.",
aigiod_001_1_replay,char_PLAYER_M,"Будь груб со мной, и я буду груб в ответ.",
aigiod_001_1_reaction_char_AEGIOCHUSMON_DARK,char_AEGIOCHUSMON_DARK,"Я так и думал, что ты это скажешь. Ты готов ко всему, не так ли?",
aigiod_001_2_replay,char_PLAYER_M,Что ты собираешься делать?,
aigiod_001_2_reaction_char_AEGIOCHUSMON_DARK,char_AEGIOCHUSMON_DARK,"Я никому не скажу. Кроме того, я не могу просто взять и
придумать все это из ниоткуда, ты же знаешь.",
aigiod_001_3_replay,char_PLAYER_M,"Пожалуйста, не надо.",
aigiod_001_3_reaction_char_AEGIOCHUSMON_DARK,char_AEGIOCHUSMON_DARK,"Делать это, даже если ты говоришь не делать этого, - вот в чем
весь смысл. Но, думаю, я могу пропустить это сегодня...",
aigiod_001_4_replay,char_PLAYER_M,Это на тебя не похоже.,
aigiod_001_4_reaction_char_AEGIOCHUSMON_DARK,char_AEGIOCHUSMON_DARK,"Пытаешься отговорить меня от этого? Извини, но как только ты
попадешься мне на глаза, это произойдет.",
aigioh_001_0_char_AEGIOCHUSMON_HOLLY,char_AEGIOCHUSMON_HOLLY,Чисто ли твое сердце?,
aigioh_001_1_replay,char_PLAYER_M,Неа. Извините.,
aigioh_001_1_reaction_char_AEGIOCHUSMON_HOLLY,char_AEGIOCHUSMON_HOLLY,"Возможно, ты шутишь, но я советую тебе исправиться. Я не
выношу нечистых сердец.",
aigioh_001_2_replay,char_PLAYER_M,Это может быть немного нечисто.,
aigioh_001_2_reaction_char_AEGIOCHUSMON_HOLLY,char_AEGIOCHUSMON_HOLLY,"Очень честно с вашей стороны. Но подумайте хорошенько. Если вы
так считаете, чистота не за горами.",
aigioh_001_3_replay,char_PLAYER_M,Вероятно.,
aigioh_001_3_reaction_char_AEGIOCHUSMON_HOLLY,char_AEGIOCHUSMON_HOLLY,"Значит, внутри вас есть какие-то сомнения? Я помогу вам
избавиться от этой неуверенности.",
aigioh_001_4_replay,char_PLAYER_M,"Конечно, это так.",
aigioh_001_4_reaction_char_AEGIOCHUSMON_HOLLY,char_AEGIOCHUSMON_HOLLY,Смелое заявление. Но не волнуйся. Я тебе верю.,
Seire_001_0_char_SIRENMON,char_SIRENMON,"Что вы предпочитаете, птиц или рыбу?",
Seire_001_1_replay,char_PLAYER_M,"И то, и другое в некотором роде мэг...",
