string2 0,string 1
11016,[Цель: все враги] Наносит тяжелый урон. Всегда попадает.
11017,[Цель: все враги] Наносит серьезный урон. Всегда попадает.
11018,"[Цель: все враги]
Наносит умеренный урон. Всегда попадает.
Накладывает {is28}{image(ui_icon_btlStatus_011)} Реверс."
11019,[Цель: 1 враг] Наносит огромный урон. Всегда попадает.
11020,"[Цель: все союзники]
Умеренно восстанавливает HP.
Накладывает {is28}{image(ui_icon_btlStatus_040)} иммунитет к аномалиям состояния и {is28}{image(ui_icon_btlStatus_041)} иммунитет к снижению характеристик."
11021,[Цель: 1 союзник] Полностью восстанавливает HP и SP. Перегревает до 200% от максимального HP и SP цели.
11022,"[Цель: все союзники]
Воскрешает после нокаута и немного восстанавливает HP.
Накладывает {is28}{image(ui_icon_btlStatus_042)} Стойкость (выживание с 1 HP при смертельном уроне)."
11023,"[Цель: все союзники]
На 2 хода повышает АТК, ЗАЩ, ИНТ, ДУХ и СКР на 50%."
11024,"[Цель: все враги]
Наносит небольшой урон и всегда попадает.
На 4 хода снижает АТК, ЗАЩ, ИНТ и ДУХ на 25%."
11025,"[Цель: все союзники]
На 3 хода повышает АТК, ЗАЩ, ИНТ, ДУХ и СКР на 50%.
На 1 ход полностью блокирует физический и магический урон."
20391,"[Цель: 1 враг]
Наносит магическую атаку {is28}{image(ui_icon_skill_010)} Тьма силой 30 или 120.
Повышенный урон по целям с особенностью «Святой»."
20441,"[Цель: 1 враг]
Либо наносит физическую атаку {is28}{image(ui_icon_skill_001)} Огонь силой 110,
либо 100% шанс снизить СКР на 10% на 3 хода."
21782,"[Цель: 1 враг] Наносит физическую атаку {is28}{image(ui_icon_skill_000)} Нейтральный силой 80. Если
у цели есть атрибут: повышенный урон. Повышенный урон по целям с особенностью «Минеральный»."
24511,[Цель: 1 враг] Крадет все изменения характеристик.
27375,"[Цель: 1 враг] Наносит физическую атаку со случайной силой/элементом/эффектом:
 - Сила 110 {is28}{image(ui_icon_skill_006)} Сталь; повышенный урон по «Минеральный»; игнорирует невыгодную совместимость.
 - Сила 100 {is28}{image(ui_icon_skill_000)} Нейтральный; повышенный урон по «Оружие»; шанс крита 20%.
 - Сила 105 {is28}{image(ui_icon_skill_005)} Электричество; повышенный урон по «Амфибия»."
31011,[Цель: 1 союзник] Умеренно восстанавливает здоровье.
31012,[Цель: 1 союзник] Значительно восстанавливает здоровье.
31021,[Цель: Все союзники] Немного восстанавливает здоровье.
