string2 0,string 1
10011,Атака
10012,Защита
10013,Побег
11013,Урон от отдачи навыка!
11014,{d0} потерял самообладание!
11015,{d0} потерял самообладание!
11016,Кросс-арты
11017,Кросс-арт: Взрыв
11018,Кросс-арт: Реверс
11019,Кросс-арт: Удар
11020,Кросс-арт: Аура
11021,Кросс-арт: Исцеление
11022,Кросс-арт: Возрождение
11023,Кросс-арт: Поле
11024,Кросс-арт: Пробитие
11025,Кросс-арт: Высшее поле
11027,Дополнительные удары
11028,Ветер возрождения
11029,Энергетический заряд
11030,Заряд регенерации
11031,Энергетический ветер
11032,Поддержка регенерации
11033,Энергетическая поддержка
11034,Ветер исцеления
11035,Усиливающая связь
11036,Усиливающий заряд
11037,Уменьшить Привязку
11038,Усиливающее подбадривание
11039,Уменьшить Разрыв
11040,Элементальный потрошитель
11041,Элементальный занавес
11042,Пробой скверны
11043,Связывание ядом
11044,Связывание паникой
11045,Связывание параличом
11046,Связывание сном
11047,Дополнительная отвага
12003,{d0} получает урон от яда!
12006,{d0} парализован и не может двигаться!
12007,{d0} спит!
12023,{d0}: ОЗ восстановлены!
12024,{d0}: ОС восстановлены!
12085,Контратака
12087,Отражение физических атак
12088,Отражение магии
12091,{d0} выстоял!
12105,{d0} не может двигаться из-за отдачи!
12106,{d0} потрясён и не может действовать!
12126,{d0}: мотивация потеряна!
12301,{d0}: ОЗ восстановлены!
12302,{d0}: ОС восстановлены!
13008,Ревностная защита
20011,Милая атака
20021,Разрывающий Выстрел
20031,Бомба Лунной Ночи
20041,Безумный Танец
20051,Багровое Проклятие
20061,Костяной коготь
20091,Зубчатая Дробилка
20101,Горящий Кулак
20111,Вращающаяся Игла
20121,Лисий Огонь
20131,Смертельный Амулет
20141,Метеоритный дождь
20151,Скользящий Рожок
20161,Удар Клыком
20171,Землетрясение тёмной стороны
20191,Храбрый металл
20192,ДОРУ-Дин
20201,Сырная Бомба
20211,Приливная волна
20231,Адский Маскарад
20241,Любовь океана
20251,Укус из засады
20261,Крестовый клинок
20271,Сила Терры
20272,Великий Торнадо
20281,Большой Смайлик-Бомбер
20301,Клинок-наклейка
20311,Оглушительный Топот
20321,Хрустальная Революция
20322,Глаз Горгоны
20331,Трёхрогая атака
20341,Фантомная Боль
20351,Двойной Удар
20352,Коготь Тьмы
20361,Утраченный пандемониум
20362,Смертельная Приманка
20371,Сокрушительный укус
20372,Удар Хвостом
20381,Пламенное инферно
20391,Живой или мёртвый
20392,Потерянный рай
20401,Дар тьмы
20402,Лампрантус
20411,Звериный коготь
20421,Шестерёнчатое жало
20431,Молниеносная Лапа
20441,Чудо-бомба активирована!
20442,Попробуй еще раз...
20443,Магическая рука
20451,Священная Вспышка
20452,Урожай Хроноса
20461,Священная Вспышка
20462,Хроно-деволюция
20471,Пламя Мегиддо
20472,Адский Вой
20481,Божественное Пламя
20491,Эффектный удар босса
20492,Львиный разрез
20501,Малое пламя
20511,Диджей-шутер
20521,Стрелка Указателя
20531,Ослепляющий Луч
20541,Мегавзрыв
20551,Двойной удар тыльной стороной
20561,Взрыв семян
20571,Колючий Хлыст
20572,Запретное Искушение
20581,Луч Солнечного Света
20591,Голос Большого Взрыва
20601,Вулканический Драйвер
20602,Алмазный Кулак
20611,Атака сердец
20681,Спиральный удар
20691,Платиновые Экскременты
20692,Платиновая Отрыжка
20701,Выбрасывание Какашек
20711,Револьвер «Трезубец»
20721,Кулак короля зверей
20731,Сиреневый ливень
20741,Победный кулак
20751,Пронзающий вихрь
20752,Волна глубины
20761,Коёдзё: гидроспуск
20771,Катящийся таран
20781,Выхлопное пламя
20791,Хейли Сторм
20801,Тысяча Кулаков
20802,Духовные чары
20811,Призыв
20821,Тепловая волна
20831,Сверхзвуковой голос
20841,Меч ветрового резака
20851,Ночной Рейд
20861,Биврёст
20862,Дыхание Одина
20871,Небесный кулак
20881,Трансцендентный меч
20882,Высшая пушка
20901,Камнедробилка
20911,Острый Удар
20921,Молниеносная Лапа
20931,Коготь Смерти
20941,Меч Гео Грея
20942,Великолепная Вспышка
20951,Бластер полной луны
20952,Мираж с Двойным Полумесяцем
20961,Воздушный Выстрел
20971,Малые дротики
20981,Мегатонный Гидро-лазер
20982,Гигантский Кратер
21001,Воющий Разрушитель
21011,Врата рая
21021,Коготь в Перчатке
21031,Казнь ножницами
21041,Ама-но Хабакири
21042,Якуса но Икадзути
21051,Кво Вадис
21052,Непобедимый Меч
21061,Абсолютная Вспышка
21062,Чёрный дождь
21071,Волна Тьмы
21111,Удар Гоблина
21121,Металлическая Пушка
21131,Золотая Лихорадка
21141,Удар головой Ви-мона
21151,Пятый Крест
21161,Сабля с Трезубцем
