severity,expected_gender,confidence,speaker_id,speaker_name,relative_path,row_id,found,text
likely_error,female,human,char_INORI,Инори Мисоно,message/d12.mbe/000_Sheet1.csv,f_d1206_0040_0140,"ента Альфу"", но не помню, чтобы там / был какой-нибудь персонаж, который выглядел бы так...","Ха. Я всё время смотрела ""Агента Альфу"", но не помню, чтобы там
был какой-нибудь персонаж, который выглядел бы так..."
likely_error,male,human,char_GLASSES_WEARING_MAN,Мужчина в очках,message/m040.mbe/000_Sheet1.csv,m040_050_230,"Была ли это та же сила Дигимона, которая сломала замок и пр","Была ли это та же сила Дигимона, которая сломала замок и привела
нас сюда?"
likely_error,female,human,char_INORI,Инори Мисоно,message/m060.mbe/000_Sheet1.csv,m060_050_060,"Я думаю, это был Ку.","Я думаю, это был Ку."
likely_error,female,human,char_INORI,Инори Мисоно,message/m090.mbe/000_Sheet1.csv,m090_080_310,"...я уверена, Эгиомон был бы рад возможности поговорить с тобой.","...я уверена, Эгиомон был бы рад возможности поговорить с тобой."
likely_error,female,human,char_INORI,Инори Мисоно,message/m140.mbe/000_Sheet1.csv,m140_080_028,что я смотрела. Тогда этот персонаж / был... моим героем.,"...главный герой того аниме, что я смотрела. Тогда этот персонаж
был... моим героем."
review,female,digimon_low_confidence,char_JUNOMON,Юномон,message/m160.mbe/000_Sheet1.csv,m160_050_040,"ем, Хрономон на последнем издыхании / сделал заявление...","Окруженный скорбящим населением, Хрономон на последнем издыхании
сделал заявление..."
likely_error,female,human,char_INORI,Инори Мисоно,message/m180.mbe/000_Sheet1.csv,m180_010_070,"его винить? В конце концов, он тоже / потерял двух членов своей семьи три года назад...","Я имею в виду, можем ли мы его винить? В конце концов, он тоже
потерял двух членов своей семьи три года назад..."
likely_error,female,human,char_HIROKO,Хироко Сагисака,message/m230.mbe/000_Sheet1.csv,m230_020_130,Был огромный переполох из-за взрыва в Ниси-Синдзюку.,Был огромный переполох из-за взрыва в Ниси-Синдзюку.
review,female,digimon_low_confidence,char_VENUSMON,Венусмон,message/m285.mbe/000_Sheet1.csv,m285_020_090,Вернулся на дно океана.,Вернулся на дно океана.
likely_error,female,human,char_INORI,Инори Мисоно,message/m285.mbe/000_Sheet1.csv,m285_030_030,"Первый раз... был когда ты поглотил силу сокровища, там в / Синдзюку восе","Первый раз... был когда ты поглотил силу сокровища, там в
Синдзюку восемь лет назад."
likely_error,male,human,char_OPERATOR_M,Оператор,message/m285.mbe/000_Sheet1.csv,m285_040_040,"времени, что пребывает в Эгиомоне, / была признана аномалией класса-S.","Способность к путешествию во времени, что пребывает в Эгиомоне,
была признана аномалией класса-S."
likely_error,male,human,char_OPERATOR_M,Оператор,message/m300.mbe/000_Sheet1.csv,m300_130_200," перестал бы существовать. История / стала бы запутанной и хаотичной без возможности восстановлен","...мир, каким мы его знаем, перестал бы существовать. История
стала бы запутанной и хаотичной без возможности восстановления...!"
likely_error,female,human,char_INORI,Инори Мисоно,message/m310.mbe/000_Sheet1.csv,m310_010_200,Уверен? Я немного волнуюсь...,Уверен? Я немного волнуюсь...
likely_error,female,human,char_HIROKO,Хироко Сагисака,message/s010_001.mbe/000_Sheet1.csv,s010_001_250,Готов помочь мне раскрыть тайну пропавших футболок?,Готов помочь мне раскрыть тайну пропавших футболок?
likely_error,female,human,char_HIROKO,Хироко Сагисака,message/s010_002.mbe/000_Sheet1.csv,s010_002_170,"Ладно-ладно. Если поможешь, / я прослежу, чтобы ты получил награду.","Ладно-ладно. Если поможешь,
я прослежу, чтобы ты получил награду."
likely_error,female,human,char_HIROKO,Хироко Сагисака,message/s010_156.mbe/000_Sheet1.csv,s010_156_330,"Давай! Перестань дразнить меня! Я знаю, что это был не сон...","Давай! Перестань дразнить меня! Я знаю, что это был не сон..."
likely_error,female,human,char_HIROKO,Хироко Сагисака,message/s010_156.mbe/000_Sheet1.csv,s010_156_340,"Я нашла его! Он был на месте той большой катастрофы! По крайней / мере, я по","Я нашла его! Он был на месте той большой катастрофы! По крайней
мере, я почти уверена..."
review,female,digimon_low_confidence,char_MINERVAMON,Минервамон,message/s070_057.mbe/000_Sheet1.csv,s070_057_090,"ет сбить меня с пути / истинного. ...Готов? Приготовься к поражению!","Помоги мне доказать, что ничто не может сбить меня с пути
истинного. ...Готов? Приготовься к поражению!"
likely_error,female,human,char_HIROKO,Хироко Сагисака,message/s110_103.mbe/000_Sheet1.csv,s110_103_450,"Я все видела! Ты был великолепен! У меня тоже есть отличные / кадры!","Я все видела! Ты был великолепен! У меня тоже есть отличные
кадры!"
likely_error,female,human,char_HIROKO,Хироко Сагисака,message/s910_169.mbe/000_Sheet1.csv,s910_169_400,"""Затем я сосредоточился на учебе. Я получил сертификат / преподавателя ..."" """"... и я, нет, Сабуро,","""Затем я сосредоточился на учебе. Я получил сертификат
преподавателя ..."" """"... и я, нет, Сабуро, стал учителем ""."
likely_error,female,human,char_HIROKO,Хироко Сагисака,message/s910_170.mbe/000_Sheet1.csv,s910_170_150,"ь. Просто позови меня, когда будешь / готов.","Что ж, тогда можешь отдохнуть. Просто позови меня, когда будешь
готов."
likely_error,female,human,char_HIROKO,Хироко Сагисака,message/s910_170.mbe/000_Sheet1.csv,s910_170_1780,"оказав свое прошлое ""я"" тем, кем он / стал, он в конечном итоге добьется успеха.","Возможно, он знал, что, показав свое прошлое ""я"" тем, кем он
стал, он в конечном итоге добьется успеха."
likely_error,female,human,char_INORI,Инори Мисоно,message/t04.mbe/000_Sheet1.csv,f_t0403_0120_0010,"Эгиомон... сказал, что хочет побыть один, и ушёл на крышу.","Эгиомон... сказал, что хочет побыть один, и ушёл на крышу."
