speaker_id,relative_path,row_id,tags,text
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1011030002,1011030002_M 1011030002_F,"Боюсь, этот дигимон не похож ни на одного из тех, с кем
мы сталкивались раньше."
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1011030003,1011030003_M 1011030003_F,"Наша работа - защищать мирных жителей от аномалий. Здесь мы не
можем позволить себе совершать какие-либо ошибки."
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1011030004,1011030004_M 1011030004_F,"Этот противник явно сильнее других дигимонов...
Тебе разрешено использовать {fc9кросс-арты}."
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1011030005,1011030005_M 1011030005_F,"Используй Дигивайс как катализатор: сфокусируй энергию
своего дигимона в одной точке и высвободи её."
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1011030006,1011030006_M 1011030006_F,"Сумеешь ли ты завоевать доверие своих союзников,
зависит только от тебя."
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1011030007,1011030007_M 1011030007_F,"Все, что мы делаем, мы делаем для защиты человечества от
аномалий. Клянусь честью АДАМАСА, мы должны выстоять!"
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1036010020,1036010020_M 1036010020_F,"Пэрротмон, кажется, приходит в себя всякий раз, когда в него
попадает молния. Должен быть какой-то способ остановить это..."
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1036010021,1036010021_M 1036010021_F,Молнии прекратились! Теперь у тебя есть шанс!
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1036010022,1036010022_M 1036010022_F,"Молния, приближается!"
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1036010023,1036010023_M 1036010023_F,"Похоже, они очень разозлились. Берегись этой молнии!"
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1081020001,1081020001_M 1081020001_F,"Что это было?! Титамон нанес удар прежде, чем мы поняли, что
происходит!"
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1081020002,1081020002_M 1081020002_F,"Сейчас я не могу объяснить, что именно произошло! Я
проанализирую ситуацию. Ты пока держись!"
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1081020003,1081020003_M 1081020003_F,"Слушай внимательно, агент {player}. У меня есть результаты
анализа твоей текущей ситуации."
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1081020004,1081020004_M 1081020004_F,"Все признаки указывают на то, что Титамон останавливает время.
Обычно это было бы невозможно... но с сокровищем в его руках..."
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1081020005,1081020005_M 1081020005_F,"Титамон, вероятно, заряжает свою силу, пока время остановлено.
Как мы можем противостоять этому...?"
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1081020009,1081020009_M 1081020009_F,"У тебя есть устройство от доктора Симмонс, которое генерирует
специальную электромагнитную сеть, верно?"
char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1081020010,1081020010_M 1081020010_F,"Очевидно, электромагнитная сеть создает помехи фазовым
электронам. Стоит попробовать прямо перед тем, как Титамон остановит время."
char_OPERATOR_M,message/d03.mbe/000_Sheet1.csv,f_d0302_0230_0010,f_d0302_0230_0010_M f_d0302_0230_0010_F,"Судя по всему... Кажется, что время было отмотано назад."
char_OPERATOR_M,message/d03.mbe/000_Sheet1.csv,f_d0302_0230_0020,f_d0302_0230_0020_M f_d0302_0230_0020_F,"Пожалуйста, продолжай собирать информацию."
char_OPERATOR_M,message/d03.mbe/000_Sheet1.csv,f_d0303_0040_0080,f_d0303_0040_0080_M f_d0303_0040_0080_F,"Точно стоит отпускать Дивер-Мона? В конце концов,
Дивер-Мон - титан."
char_OPERATOR_M,message/d03.mbe/000_Sheet1.csv,f_d0303_0040_0090,f_d0303_0040_0090_M f_d0303_0040_0090_F,"Неясно, можно ли ему доверять. К тому же он бросил тебя
в опасном месте..."
char_OPERATOR_M,message/d03.mbe/000_Sheet1.csv,f_d0303_0040_0100,f_d0303_0040_0100_M f_d0303_0040_0100_F,Не исключай возможности ловушки и не теряй бдительности.
char_OPERATOR_M,message/d04.mbe/000_Sheet1.csv,f_d0407_0040_0030,,"Потерял ориентир? Попробуй воспользоваться «Анализом». Может,
что-нибудь найдёшь."
char_OPERATOR_M,message/d04.mbe/000_Sheet1.csv,f_d0407_0040_0030__H,,"Заблудилась? Воспользуйся «Анализом» — может,
что-нибудь найдёшь."
char_OPERATOR_M,message/d04.mbe/000_Sheet1.csv,f_d0407_0040_0030__F,,"Заблудился? Воспользуйся «Анализом» — может,
что-нибудь найдёшь."
char_OPERATOR_M,message/d06.mbe/000_Sheet1.csv,f_d0609_0010_0010,,Что случилось? Ты в порядке?! Нельзя сдаваться!
char_OPERATOR_M,message/d10.mbe/000_Sheet1.csv,f_d1001_0070_0010,,Что ты делаешь?! Убирайся оттуда!
char_OPERATOR_M,message/d10.mbe/000_Sheet1.csv,f_d1001_0120_0030,,"Показания дигимонов приближаются к показаниям генератора
электромагнитной сети."
char_OPERATOR_M,message/d10.mbe/000_Sheet1.csv,f_d1001_0120_0040,,Все там в опасности! Тебе нужно поторопиться!
char_OPERATOR_M,message/d10.mbe/000_Sheet1.csv,f_d1002_0030_0010,,Нет времени возвращаться. Направляйся к зданию правительства.
char_OPERATOR_M,message/d10.mbe/000_Sheet1.csv,f_d1003_0010_0010,,Что ты делаешь? Координаты цели указаны в другой стороне.
