string2 0,string 1
1019000,Скорость камеры (мышь)
1019001,
1019002,
1019003,
1019004,
1019005,Подтвердить
1019006,Отмена
1019007,Двигаться вперёд/Клавиша ↑
1019008,Двигаться назад/Клавиша ↓
1019009,Двигаться влево/Клавиша ←
1019010,Двигаться вправо/Клавиша →
1019011,Меню паузы/Сменить сортировку
1019012,Анализ/Сменить вкладку
1019013,Дигиатака/Кросс-арт/Сменить вкладку
1019014,Открыть настройки
1019015,Открыть предметы
1019016,Открыть Дигилайн
1019017,Открыть конвертацию
1019018,Дигирайд/Побег/Сменить вкладку (доп.)
1019019,
1019020,Элементы управления меню
1019021,Открыть Дигивайс/Переключить информацию/Пропустить ролик
1019022,Повернуть камеру вверх/Увеличить скорость боя
1019023,Повернуть камеру вниз/Уменьшить скорость боя
1019024,Повернуть камеру влево
1019025,Повернуть камеру вправо
1019026,Сбросить камеру/Сохранить/Авто
1019027,Переключить карту/Закрыть Дигивайс
1019028,Сменить вкладку (доп.)
1019029,Бег
1019030,Фоторежим
1019031,
1019032,
1019033,
1019034,
1019035,
1019036,
1019037,
1019038,
1019039,
1019040,
1019041,
1019042,
1019043,
1019044,
1900000,A
1900001,B
1900002,C
1900003,D
1900004,E
1900005,F
1900006,G
1900007,H
1900008,I
1900009,J
1900010,K
1900011,L
1900012,M
1900013,N
1900014,O
1900015,P
1900016,Q
1900017,R
1900018,S
1900019,T
1900020,U
1900021,V
1900022,W
1900023,X
1900024,Y
1900025,Z
1900026,1
1900027,2
1900028,3
1900029,4
1900030,5
1900031,6
1900032,7
1900033,8
1900034,9
1900035,0
1900036,Esc
1900037,F1
1900038,F2
1900039,F3
1900040,F4
1900041,F5
1900042,F6
1900043,F7
1900044,F8
1900045,F9
1900046,F10
1900047,F11
1900048,F12
1900049,
1900050,
1900051,
1900052,
1900053,-
1900054,=
1900055,[
1900056,]
1900057,\
1900058,
1900059,
1900060,","
1900061,.
1900062,/
1900063,←
1900064,→
1900065,↑
1900066,↓
1900067,Home
1900068,End
1900069,PgUp
1900070,PgDn
1900071,Ins
1900072,Del
1900073,Num  1
1900074,Num   2
1900075,Num   3
1900076,Num   4
1900077,Num   5
1900078,Num   6
1900079,Num   7
1900080,Num   8
1900081,Num   9
1900082,Num  0
1900083,Num  /
1900084,Num   *
1900085,Num  -
1900086,Num   +
1900087,
1900088,Num.
1900089,Ctrl.
1900090,.Ctrl
1900091,
1900092,
1900093,
1900094,
1900095,
1900096,¥
1900097,^
1900098,
1900099,Alt.
1900100,.Alt
1900101,
1900102,
1900103,
1900104,
1900105,@
1900106,:
1900107,#
1900108,`
1900109,)
1900110,$
1900111,Ù
1900112,*
1900113,!
1900114,ß
1900115,´
1900116,Ü
1900117,+
1900118,Ö
1900119,Ä
1900120,Ì
1900121,È
1900122,Ò
1900123,À
1900124,¡
1900125,Ñ
1900126,Ç
1900127,~
1900128,{
1900129,}
1900130,¿
1900131,<
1900132,§
1900133,\
1901000,Режим отображения
1901001,Разрешение
1901002,Частота кадров
1901003,Вертикальная синхронизация
1901004,FXAA
1901005,MSAA
1901006,TAA
1901007,Глубина резкости
1901008,Свечение
1901009,Качество текстур
1901010,Объёмный туман
1901011,Отражения
1901012,Окклюзия окружения
1901013,Фильтрация текстур
1901014,Плотность персонажей
1901015,Предустановка качества
1901100,Вкл.
1901101,Выкл.
1901102,Пользовательское
1901103,Очень высокое
1901104,Высокое
1901105,Среднее
1901106,Низкое
1901107,Очень низкое
1901108,Анизотропная (16×)
1901109,Анизотропная (8×)
1901110,Анизотропная (4×)
1901111,Анизотропная (2×)
1901112,Билинейная
1901113,8×
1901114,4×
1901115,2×
1901116,0×
1901200,Оконный режим
1901201,Без рамки
1901202,Полноэкранный режим
1901300,1280 × 720 (16:9)
1901301,1280 × 800 (16:10)
1901302,1366 × 768 (16:9)
1901303,1440 × 900 (16:10)
1901304,1600 × 900 (16:9)
1901305,1600 × 1000 (16:10)
1901306,1680 × 1050 (16:10)
1901307,(Debug) 1720 × 720 (21:9)
1901308,1920 × 1080 (16:9)
1901309,1920 × 1200 (16:10)
1901310,2048 × 1152 (16:9)
1901311,2560 × 1080 (21:9)
1901312,2560 × 1440 (16:9)
1901313,2560 × 1600 (16:10)
1901314,2880 × 1800 (16:10)
1901315,3200 × 1800 (16:9)
1901316,3440 × 1440 (21:9)
1901317,3840 × 2160 (16:9)
1901318,3840 × 2400 (16:10)
1901319,(Отладка) Симуляция Steam Deck
1901400,Без ограничений
1901401,144
1901402,60
1901403,30
1901501,Введите имя
1901016,HDR
